param distancia:
	1	2	3	4	5	6	7	8	9	10	11 :=
1	9000	266	160	188	117	283	244	93	62	218	117
2	69	9000	47	254	64	278	72	276	132	215	205
3	123	217	9000	222	193	47	57	90	205	208	200
4	175	68	96	9000	46	46	106	111	140	246	129
5	145	98	45	275	9000	192	295	125	132	231	296
6	215	297	106	64	102	9000	186	135	122	82	277
7	274	195	80	112	111	54	9000	155	248	223	105
8	92	288	251	171	168	242	127	9000	207	46	141
9	256	44	198	278	209	98	233	241	9000	276	117
10	292	174	215	140	148	298	230	180	182	9000	116
11	141	190	49	177	160	115	187	296	297	199	9000;
